tbl|descr|rows_
---|-----|-----
auto_sc_work||0
bcr_mst||0
cell_dtl||0
cell_mst||500
chg_lang||0
client_pgr_nm||8
common_code||624
cv_data||32
cv_def_inf||16
cv_flow_def||29
dead_lock_zone_def||42
del_his_setting||10
dest_def||154
dest_pos_def||8
eqp_ecd_mst||465
eqp_err_his||19
eqp_mst||24
event_log||0
host_empty_plt||0
host_if_log||30118
job_mst||3
job_mst_his||32012
mes_if_log||0
rtv_data||1
RTV_DATA_LGLS||1
sc_data||5
SC_DATA_LGLS||5
sc_def_inf||5
sc_hs_def||4
user_grp||5
user_grp_win||135
user_mst||3
wait_track||0
wc_data||0
wc_his||0
wcs_client_log||7
wcs_log_pgr||132075
